Codigo_Interno,Pepítideo,Dosagem,Unidade
SNP5,Snap-8,5,MG
LC400,L-Carnitine,400,MG
NET5,N-Acetyl Epitalon Amidate,5,MG
P215,P21,5,MG
RT45,Retatrutide,45,MG
RC10,Retatrutide + Cagrilintide,10,MG
TG20,Testagen,20,MG
VI20,Vilon,20,MG
IGFDES1,IGF-1 DES,1,MG
F42,FOXO4,2,MG
MOT15,MOTS-C,15,MG
GT400,Glutathione,400,MG
E5K,EPO,5000,IU
BA5,BAC Water,5,ML
BB04,BPC-157 + TB-500,4,MG
CH20,Chonluten,20,MG
DH10,Dihexa,10,MG
MTII5,Melanotan II,5,MG
OV20,Ovagen,20,MG
P2110,P21,10,MG
MAX20,Prostamax,20,MG
TER10,Teriparatide,10,MG
AR5,AICAR,5,MG
LC500,L-Carnitine,500,MG
LL10,Liraglutide,10,MG
MDT20,Mazdutide,20,MG
MOT5,MOTS-C,5,MG
SS25,SS-31,25,MG
SUR5,Survodutide,5,MG
TY5,Thymalin,5,MG
LI20,Livagen,20,MG
PA20,Pancragen,20,MG
CGL20,Cagrilintide,20,MG
CP20,CJC-1295 (no DAC) + Ipamorelin,20,MG
SLK30,Selank,30,MG
SMX30,Semax,30,MG
SRM15,Sermorelin Acetate,15,MG
TB20,TB-500,20,MG
ET40,Epithalon,40,MG
SLU10,SLU-PP-332,10,MG
DS12,DSIP,12,MG
GT500,Glutathione,500,MG
LC526,Lipo-C,526,MG
LC425,Lipo-C FOCUS,425,MG
RP226,Relaxation PM,226,MG
SHB865,Super Human Blend,865,MG
SS350,Super Shred,350,MG
SUR2,Survodutide,2,MG
TY20,Thymalin,20,MG
TR70,Tirzepatide,70,MG
TR90,Tirzepatide,90,MG
AU20,AHK-CU,20,MG
LAX10,Cartalax,10,MG
F45,FOXO4,5,MG
RT100,Retatrutide,100,MG
TI10,Tesamorelin + Ipamorelin,10,MG
BBG40,Glow,40,MG
NSK30,NA Selank Amidate,30,MG
NXA30,NA Semax Amidate,30,MG
NAD750,NAD+,750,MG
RC15,Retatrutide + Cagrilintide,15,MG
SM3,Semaglutide,3,MG
TI15,Tesamorelin + Ipamorelin,15,MG
TR35,Tirzepatide,35,MG
TR200,Tirzepatide,200,MG
GH50,GHK Basic,50,MG
NAD250,NAD+,250,MG
PTD5,PTD-DBM,5,MG
XS20,Semax + Selank,20,MG
TI18,Tesamorelin + Ipamorelin,18,MG
CBL30,CBL-514,30,MG
HHB,Healthy Hair Skin Nails Blend,402,MG
GAZ,Immunological Enhancement,402,MG
LMX,Lipo Mino Mix,245,MG
SHR,Shred,350,MG
D320,Vitamin D3,20000,IU
SM40,Semaglutide,40,MG
LC300,Lipo-C,300,MG
TR110,Tirzepatide,110,MG
H50,HGH 191-AA (Somatropin),50,IU
PL5,Pramlintide,5,MG
PL10,Pramlintide,10,MG
SZ352,SZ-352,352,MG
RA16,ARA-290,16,MG
ET20,Epithalon,20,MG
SS20,SS-31,20,MG
GND10,Gonadorelin,10,MG
ISU3,Insulin,3,ML
SM60,Semaglutide,60,MG
LC2,L-Carnitine,2,MG
TBF2,TB-500 Fragment,2,MG
RA5,ARA-290,5,MG
MIC10,MIC (Lipo C + B12),10,ML
ACTH5,ACTH 1-39,5,MG
AM5,Amylin,5,MG
AG5,Angiotensin (1–7),5,MG
BG5,Bimagrumab,5,MG
CBL10,CBL-514,10,MG
CBL20,CBL-514,20,MG
CLK2,Cerlankin,2,MG
CGRP1,CGRP (Calcitonin Gene-Related),1,MG
CDI10,CJC-1295 (with DAC) + Ipamorelin,10,MG
CT5,CT-1 Cardiotrophin-1,5,MG
DH5,Dihexa,5,MG
EBA5,Elabela Apelin,5,MG
EFT90,Enfuvirtide,90,MG
FGF10,FGF-21,10,MG
GHL10,Ghrelin,10,MG
GLU1,Glucagon,1,MG
GS10,Goserelin,10,MG
LPA10,Leuprolide acetate,10,MG
LOX30,Lysyl Oxidase,30,MG
NST5,Nesiritide,5,MG
NPY10,Neuropeptide Y (NPY),10,MG
OA10,Orexin A,10,MG
OB5,Orexin B,5,MG
OB10,Orexin B,10,MG
PACAP5,PACAP,5,MG
PTHF10,PTH fragments,10,MG
RM5,Relamorelin,5,MG
TG5,Teduglutide,5,MG
TF1,Tesofensine,1,MG
TPTN5,Treprostinil,5,MG
PP10,P21 (With Adamantane),10,MG
H20,HGH 191-AA (Somatropin),20,IU
RT12,Retatrutide,12,MG
